ID,Name,Latitude,Longitude,Population
137,Saint Kitts and Nevis,17.357822,-62.782998,53192
138,Saint Lucia,13.9094,-60.9789,183629
139,Saint Vincent and the Grenadines,12.9843,-61.2872,110947
140,Samoa,-13.759,-172.1046,198410
141,San Marino,43.9424,12.4578,33938
142,Sao Tome and Principe,0.1864,6.6131,219161
143,Saudi Arabia,23.885942,45.079162,34813867
144,Senegal,14.4974,-14.4524,16743930
145,Serbia,44.0165,21.0059,8737370
146,Seychelles,-4.6796,55.492,98340
147,Sierra Leone,8.460555,-11.779889,7976985
148,Singapore,1.2833,103.8333,5850343
149,Slovakia,48.669,19.699,5459643
150,Slovenia,46.1512,14.9955,2078932
151,Solomon Islands,-9.6457,160.1562,686878
152,Somalia,5.152149,46.199616,15893219
153,South Africa,-30.5595,22.9375,59308690
154,South Sudan,6.877,31.307,11193729
155,Spain,40.463667,-3.74922,46754783
156,Sri Lanka,7.873054,80.771797,21413250
157,Sudan,12.8628,30.2176,43849269
158,Suriname,3.9193,-56.0278,586634
159,Sweden,60.128161,18.643501,10099270
160,Switzerland,46.8182,8.2275,8654618
161,Syria,34.802075,38.996815,17500657
162,Taiwan,23.7,121,23816775
163,Tajikistan,38.861,71.2761,9537642
164,Tanzania,-6.369028,34.888822,59734213
165,Thailand,15.870032,100.992541,69799978
166,Timor-Leste,-8.874217,125.727539,1318442
167,Togo,8.6195,0.8248,8278737
168,Trinidad and Tobago,10.6918,-61.2225,1399491
169,Tunisia,33.886917,9.537499,11818618
169,Tunisia,33.886917,9.537499,11818618
170,Turkey,38.9637,35.2433,84339067
170,Turkey,38.9637,35.2433,84339067
171,Uganda,1.373333,32.290275,45741000
172,Ukraine,48.3794,31.1656,43733759
173,United Arab Emirates,23.424076,53.847818,9890400
174,United Kingdom,55.3781,-3.436,67886004
174,Uruguay,-32.5228,-55.7658,3473727
175,US,,,
175,Uzbekistan,41.377491,64.585262,33469199
